title,artist,title_listeners,title_scrobbles,title_tags,title_duration
Без бою,Океан Ельзи,"67,241","500,416","['ukrainian', 'rock', 'pop rock', 'alternative rock', 'rock', 'ukrainian', 'ukrainian rock']",4:21
Обійми,Океан Ельзи,"40,990","282,632","['ukrainian', 'blues', 'rock', 'alternative rock', 'rock', 'ukrainian', 'ukrainian rock']",3:44
Не питай,Океан Ельзи,"39,876","303,396","['ukrainian', 'rock', 'love', 'sad', 'rock', 'ukrainian', 'ukrainian rock']",2:39
Коли тебе нема,Океан Ельзи,"37,672","239,250","['rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",3:18
911,Океан Ельзи,"35,998","235,613","['rock', 'ukrainian', 'indie rock', 'rock', 'ukrainian', 'ukrainian rock']",3:29
Вище неба,Океан Ельзи,"35,768","240,200","['ukrainian', 'rock', 'indie', 'pop rock', 'rock', 'ukrainian', 'ukrainian rock']",3:59
Вставай,Океан Ельзи,"35,045","248,590","['rock', 'ukrainian', 'ukrainian rock', 'rock', 'ukrainian', 'ukrainian rock']",2:56
Майже весна,Океан Ельзи,"34,826","240,383","['ukrainian', 'rock', 'alternative', 'spring', 'rock', 'ukrainian', 'ukrainian rock']",4:14
Той день,Океан Ельзи,"33,702","221,011","['rock', 'ukrainian', 'ukrainian rock', 'rock', 'ukrainian', 'ukrainian rock']",4:00
Холодно,Океан Ельзи,"32,587","221,534","['ukrainian', 'rock', 'ukrainian rock', 'rock', 'ukrainian', 'ukrainian rock']",4:34
Все буде добре,Океан Ельзи,"32,302","202,088","['rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",3:12
Відпусти,Океан Ельзи,"30,909","177,284","['rock', 'ukrainian', 'ukrainian - rock', 'rock', 'ukrainian', 'ukrainian rock']",3:48
На небі,Океан Ельзи,"28,900","209,586","['rock', 'pop rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",3:44
Кавачай,Океан Ельзи,"28,270","181,582","['ukrainian rock', 'rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",4:39
Стріляй,Океан Ельзи,"25,570","184,178","['ukrainian', 'rock', 'ukraine chart', 'rock', 'ukrainian', 'ukrainian rock']",4:51
Сосни,Океан Ельзи,"25,453","169,903","['rock', 'ukrainian', 'indie', 'pop rock', 'rock', 'ukrainian', 'ukrainian rock']",4:28
"Там, де нас нема",Океан Ельзи,"24,981","143,055","['rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",3:27
Коко шанель,Океан Ельзи,"22,342","154,417","['ukrainian', 'rock', 'rock', 'ukrainian', 'ukrainian rock']",3:55
Для тебе,Океан Ельзи,"21,588","146,835","['ukrainian', 'rock', 'ukrainian - rock', 'rock', 'ukrainian', 'ukrainian rock']",3:51
Більше для нас,Океан Ельзи,"21,306","116,941","['rock', '90s', 'ucrainian pop-rock', 'russian', 'rock', 'ukrainian', 'ukrainian rock']",3:30
На лінії вогню,Океан Ельзи,"20,289","124,739","['rock', 'great lyrics', 'ukrainian', 'sad songs', 'soooooo beautiful', 'rock', 'ukrainian', 'ukrainian rock']",3:01
Я до тебе,Океан Ельзи,"19,456","109,669","['rock', 'love', 'rock', 'ukrainian', 'ukrainian rock']",4:51
Rendez-Vous,Океан Ельзи,"18,890","111,134","['rock', 'ukrainian', 'ukrainian rock', 'good comedy underscore', 'rock', 'ukrainian', 'ukrainian rock']",4:15
Квiтка,Океан Ельзи,"18,497","123,175","['ukrainian rock', 'ukrainian', 'rock', 'ukrainian', 'ukrainian rock']",4:17
Susy,Океан Ельзи,"18,397","112,678","['ukrainian', 'rock', 'ukrainian rock', 'indie', 'rock', 'ukrainian', 'ukrainian rock']",4:00
Квітка,Океан Ельзи,"18,371","108,513","['rock', 'romantic', 'ukrainian', 'soft', 'rock', 'ukrainian', 'ukrainian rock']",4:15
Мене,Океан Ельзи,"17,143","119,615","['rock', 'ukrainian', 'something special', 'exactly what i need', 'besause i lovvvvve it', 'rock', 'ukrainian', 'ukrainian rock']",3:24
Відчуваю,Океан Ельзи,"16,793","96,169","['rock', 'ukrainian', 'ukrainian rock', 'rock', 'ukrainian', 'ukrainian rock']",4:15
Поясни,Океан Ельзи,"16,301","104,384","['ukrainian rock', 'rock', 'cool', 'live', 'rock', 'ukrainian', 'ukrainian rock']",3:39
Незалежність,Океан Ельзи,"16,153","99,957","['ukrainian', 'rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",3:16
Стіна,Океан Ельзи,"15,715","98,085","['ukrainian', 'rock', 'ukrainian rock', 'ukraine chart', 'rock', 'ukrainian', 'ukrainian rock']",3:28
Вiдпусти,Океан Ельзи,"15,700","110,518","['rock', 'love', 'strain', 'romantic', 'male lullaby', 'rock', 'ukrainian', 'ukrainian rock']",3:54
"Така, як ти",Океан Ельзи,"15,458","89,170","['ukrainian', 'rock', 'ukrainian rock', 'indie', 'pop-rock', 'rock', 'ukrainian', 'ukrainian rock']",3:48
З нею,Океан Ельзи,"15,092","80,726","['ukrainian', 'rock', 'ukraine chart', 'rock', 'ukrainian', 'ukrainian rock']",4:59
Dolce vita,Океан Ельзи,"14,894","79,494","['indie', 'britpop', 'ukrainian', 'alternative rock', 'rock', 'ukrainian', 'ukrainian rock']",5:22
Пташка,Океан Ельзи,"14,672","72,028","['rock', 'indie', 'alternative rock', 'alternative', 'sad', 'rock', 'ukrainian', 'ukrainian rock']",2:43
Зелені очі,Океан Ельзи,"14,572","79,136","['rock', 'ukrainian rock', 'rock', 'ukrainian', 'ukrainian rock']",4:08
Етюд,Океан Ельзи,"14,416","84,909","['ukrainian', 'rock', 'rock', 'ukrainian', 'ukrainian rock']",2:21
Не можу без тебе,Океан Ельзи,"14,211","82,304","['rock', 'rock', 'ukrainian', 'ukrainian rock']",2:35
